# Formato: NOME|TICKER1,TICKER2
# Bancos
itaú unibanco|ITUB3,ITUB4
sanepar|SAPR11,SAPR3,SAPR4
aegea|AEGA11
igua saneamento|IGSN3
águas do brasil|AESB3
# Holdings e Investimentos
itaúsa|ITSA3,ITSA4
ultrapar|UGPA3
simpar|SIMH3
cosan|CSAN3
vamos|VAMO3
compass|CPSS3
orizon|ORVR3
g2d|G2DI33
xp inc|XPBR31
nu holdings|NUBR33
brasil agro|AGRO3
gp investments|GPIV33
# Outros
natura|NTCO3
grupo soma|SOMA3
infracommerce|IFCM3
desktop|DESK3
priner|PRNR3
taurus|TASA3,TASA4
bombril|BOBR4
whirlpool|WHRL3,WHRL4
mundial|MNDL3
haga|HAGA3,HAGA4
estrela|ESTR3,ESTR4
nadir figueiredo|NAFG3,NAFG4
vitru|VTRU3
mosaico|MOSI3
alphaville|AVLL3
lavvi|LAVV3
plano & plano|PLPL3
